Timestamp,Container,CPU_Percent,Memory_Usage
15:49:31,spark_workspace,0.01%,196.5MiB / 31.09GiB
15:49:36,spark_workspace,10.81%,196.5MiB / 31.09GiB
15:49:40,spark_workspace,0.06%,196.5MiB / 31.09GiB
15:49:45,spark_workspace,0.01%,196.5MiB / 31.09GiB
15:49:50,spark_workspace,0.06%,196.5MiB / 31.09GiB
15:49:54,spark_workspace,0.11%,196.5MiB / 31.09GiB
15:49:59,spark_workspace,0.01%,196.5MiB / 31.09GiB
15:50:03,spark_workspace,0.01%,196.5MiB / 31.09GiB
15:50:08,spark_workspace,0.05%,196.5MiB / 31.09GiB
15:50:13,spark_workspace,11.88%,196.6MiB / 31.09GiB
15:50:18,spark_workspace,11.44%,196.5MiB / 31.09GiB
15:50:22,spark_workspace,10.13%,210.8MiB / 31.09GiB
15:50:27,spark_workspace,0.01%,196.7MiB / 31.09GiB
15:50:32,spark_workspace,0.02%,196.7MiB / 31.09GiB
15:50:36,spark_workspace,0.01%,196.7MiB / 31.09GiB
15:50:41,spark_workspace,0.05%,196.7MiB / 31.09GiB
15:50:46,spark_workspace,0.01%,196.7MiB / 31.09GiB
15:50:50,spark_workspace,0.05%,196.7MiB / 31.09GiB
15:50:55,spark_workspace,0.09%,196.7MiB / 31.09GiB
15:51:00,spark_workspace,5.43%,201.7MiB / 31.09GiB
15:51:03,spark_workspace,0.04%,196.7MiB / 31.09GiB
15:51:08,spark_workspace,0.01%,196.7MiB / 31.09GiB
15:51:13,spark_workspace,0.01%,196.7MiB / 31.09GiB
15:51:17,spark_workspace,0.05%,196.7MiB / 31.09GiB
15:51:22,spark_workspace,0.01%,196.7MiB / 31.09GiB
15:51:27,spark_workspace,0.43%,196.7MiB / 31.09GiB
15:51:31,spark_workspace,2.76%,196.7MiB / 31.09GiB
15:51:36,spark_workspace,8.05%,196.7MiB / 31.09GiB
15:51:41,spark_workspace,3.62%,201MiB / 31.09GiB
15:51:45,spark_workspace,0.01%,196.7MiB / 31.09GiB
15:51:50,spark_workspace,0.24%,196.7MiB / 31.09GiB
15:51:55,spark_workspace,0.08%,196.7MiB / 31.09GiB
15:51:59,spark_workspace,0.04%,196.7MiB / 31.09GiB
15:52:04,spark_workspace,1.40%,196.7MiB / 31.09GiB
15:52:08,spark_workspace,0.00%,196.7MiB / 31.09GiB
15:52:13,spark_workspace,8.22%,196.7MiB / 31.09GiB
15:52:18,spark_workspace,15.35%,196.7MiB / 31.09GiB
15:52:22,spark_workspace,0.02%,196.7MiB / 31.09GiB
15:52:27,spark_workspace,0.04%,196.7MiB / 31.09GiB
15:52:31,spark_workspace,0.07%,196.7MiB / 31.09GiB
15:52:36,spark_workspace,0.06%,196.7MiB / 31.09GiB
15:52:41,spark_workspace,0.12%,196.7MiB / 31.09GiB
15:52:45,spark_workspace,0.01%,196.7MiB / 31.09GiB
15:52:50,spark_workspace,9.42%,196.8MiB / 31.09GiB
15:52:55,spark_workspace,0.12%,196.7MiB / 31.09GiB
15:52:59,spark_workspace,5.94%,196.7MiB / 31.09GiB
15:53:04,spark_workspace,9.35%,196.7MiB / 31.09GiB
15:53:09,spark_workspace,0.05%,196.7MiB / 31.09GiB
15:53:13,spark_workspace,0.03%,196.7MiB / 31.09GiB
15:53:18,spark_workspace,0.31%,196.7MiB / 31.09GiB
15:53:22,spark_workspace,0.01%,196.7MiB / 31.09GiB
15:53:27,spark_workspace,0.01%,196.7MiB / 31.09GiB
15:53:32,spark_workspace,0.06%,196.7MiB / 31.09GiB
15:53:36,spark_workspace,0.01%,196.7MiB / 31.09GiB
15:53:41,spark_workspace,7.91%,196.8MiB / 31.09GiB
15:53:45,spark_workspace,7.33%,196.7MiB / 31.09GiB
15:53:50,spark_workspace,0.01%,196.7MiB / 31.09GiB
15:53:55,spark_workspace,0.12%,196.7MiB / 31.09GiB
15:53:59,spark_workspace,0.01%,196.7MiB / 31.09GiB
15:54:04,spark_workspace,0.01%,196.7MiB / 31.09GiB
15:54:09,spark_workspace,0.06%,196.7MiB / 31.09GiB
15:54:13,spark_workspace,0.00%,196.7MiB / 31.09GiB
15:54:18,spark_workspace,0.01%,196.7MiB / 31.09GiB
15:54:23,spark_workspace,0.05%,196.7MiB / 31.09GiB
15:54:27,spark_workspace,0.01%,196.8MiB / 31.09GiB
15:54:32,spark_workspace,0.04%,196.7MiB / 31.09GiB
15:54:36,spark_workspace,8.29%,196.7MiB / 31.09GiB
15:54:41,spark_workspace,0.01%,196.7MiB / 31.09GiB
15:54:46,spark_workspace,0.01%,196.7MiB / 31.09GiB
15:54:50,spark_workspace,0.02%,196.7MiB / 31.09GiB
15:54:55,spark_workspace,0.03%,196.7MiB / 31.09GiB
15:55:00,spark_workspace,0.00%,196.7MiB / 31.09GiB
15:55:04,spark_workspace,0.03%,196.7MiB / 31.09GiB
15:55:09,spark_workspace,0.01%,196.7MiB / 31.09GiB
15:55:14,spark_workspace,0.06%,196.7MiB / 31.09GiB
15:55:18,spark_workspace,0.00%,196.7MiB / 31.09GiB
15:55:23,spark_workspace,20.25%,196.7MiB / 31.09GiB
15:55:27,spark_workspace,0.01%,196.7MiB / 31.09GiB
15:55:32,spark_workspace,0.05%,196.7MiB / 31.09GiB
15:55:37,spark_workspace,0.01%,196.7MiB / 31.09GiB
15:55:41,spark_workspace,0.05%,196.7MiB / 31.09GiB
15:55:46,spark_workspace,0.01%,196.7MiB / 31.09GiB
15:55:51,spark_workspace,0.01%,196.7MiB / 31.09GiB
