Timestamp,Container,CPU_Percent,Memory_Usage
23:07:12,spark_workspace,6.10%,72.76MiB / 30.47GiB
23:07:16,spark_workspace,0.00%,72.5MiB / 30.47GiB
23:07:20,spark_workspace,0.00%,72.33MiB / 30.47GiB
23:07:24,spark_workspace,0.00%,72.09MiB / 30.47GiB
23:07:28,spark_workspace,6.28%,72.91MiB / 30.47GiB
23:07:33,spark_workspace,0.00%,72.5MiB / 30.47GiB
23:07:37,spark_workspace,0.00%,72.09MiB / 30.47GiB
23:07:41,spark_workspace,0.00%,72.57MiB / 30.47GiB
23:07:45,spark_workspace,0.00%,72.32MiB / 30.47GiB
23:07:49,spark_workspace,0.00%,72.3MiB / 30.47GiB
23:07:53,spark_workspace,5.96%,72.79MiB / 30.47GiB
23:07:57,spark_workspace,0.00%,72.09MiB / 30.47GiB
23:08:01,spark_workspace,0.00%,72.37MiB / 30.47GiB
23:08:05,spark_workspace,0.00%,72.14MiB / 30.47GiB
23:08:09,spark_workspace,0.00%,72.09MiB / 30.47GiB
23:08:13,spark_workspace,0.00%,72.09MiB / 30.47GiB
23:08:17,spark_workspace,0.00%,72.09MiB / 30.47GiB
23:08:21,spark_workspace,0.00%,72.09MiB / 30.47GiB
23:08:25,spark_workspace,0.00%,72.09MiB / 30.47GiB
23:08:29,spark_workspace,1.31%,72.09MiB / 30.47GiB
23:08:33,spark_workspace,2.42%,90.59MiB / 30.47GiB
23:08:37,spark_workspace,36.63%,147.6MiB / 30.47GiB
23:08:41,spark_workspace,15.75%,191MiB / 30.47GiB
23:08:46,spark_workspace,47.32%,238.1MiB / 30.47GiB
23:08:50,spark_workspace,100.43%,238.5MiB / 30.47GiB
23:08:54,spark_workspace,95.57%,238.5MiB / 30.47GiB
23:08:58,spark_workspace,22.27%,260.3MiB / 30.47GiB
23:09:02,spark_workspace,55.76%,278.2MiB / 30.47GiB
23:09:06,spark_workspace,0.44%,454.1MiB / 30.47GiB
23:09:10,spark_workspace,7.21%,444.4MiB / 30.47GiB
23:09:14,spark_workspace,0.11%,444.1MiB / 30.47GiB
23:09:18,spark_workspace,5.41%,448.4MiB / 30.47GiB
23:09:22,spark_workspace,0.12%,498.1MiB / 30.47GiB
23:09:26,spark_workspace,0.42%,498.8MiB / 30.47GiB
23:09:30,spark_workspace,7.57%,494.8MiB / 30.47GiB
23:09:34,spark_workspace,0.14%,494.2MiB / 30.47GiB
23:09:38,spark_workspace,0.96%,494.9MiB / 30.47GiB
23:09:42,spark_workspace,0.16%,494.4MiB / 30.47GiB
23:09:46,spark_workspace,0.39%,494.7MiB / 30.47GiB
23:09:50,spark_workspace,7.33%,494.4MiB / 30.47GiB
23:09:54,spark_workspace,0.18%,494.8MiB / 30.47GiB
23:09:58,spark_workspace,0.82%,494.6MiB / 30.47GiB
23:10:02,spark_workspace,0.11%,494.4MiB / 30.47GiB
23:10:06,spark_workspace,0.36%,494.4MiB / 30.47GiB
23:10:10,spark_workspace,6.29%,495.1MiB / 30.47GiB
23:10:15,spark_workspace,0.15%,494.4MiB / 30.47GiB
23:10:19,spark_workspace,0.70%,495.2MiB / 30.47GiB
23:10:23,spark_workspace,0.26%,495.2MiB / 30.47GiB
23:10:27,spark_workspace,0.38%,494.9MiB / 30.47GiB
23:10:31,spark_workspace,0.15%,494.4MiB / 30.47GiB
23:10:35,spark_workspace,0.18%,494.9MiB / 30.47GiB
23:10:39,spark_workspace,0.16%,495MiB / 30.47GiB
23:10:43,spark_workspace,0.16%,495MiB / 30.47GiB
23:10:47,spark_workspace,6.66%,495.3MiB / 30.47GiB
23:10:51,spark_workspace,6.59%,495.5MiB / 30.47GiB
23:10:55,spark_workspace,0.10%,494.7MiB / 30.47GiB
23:10:59,spark_workspace,0.11%,494.8MiB / 30.47GiB
23:11:03,spark_workspace,0.13%,494.8MiB / 30.47GiB
23:11:07,spark_workspace,0.76%,495MiB / 30.47GiB
23:11:12,spark_workspace,0.23%,495MiB / 30.47GiB
23:11:16,spark_workspace,0.11%,494.8MiB / 30.47GiB
23:11:20,spark_workspace,0.11%,494.8MiB / 30.47GiB
23:11:24,spark_workspace,0.08%,494.8MiB / 30.47GiB
23:11:28,spark_workspace,0.99%,495.3MiB / 30.47GiB
23:11:32,spark_workspace,7.39%,494.9MiB / 30.47GiB
23:11:36,spark_workspace,0.32%,495.1MiB / 30.47GiB
23:11:40,spark_workspace,0.05%,494.9MiB / 30.47GiB
23:11:44,spark_workspace,0.07%,495.1MiB / 30.47GiB
23:11:48,spark_workspace,0.92%,495.2MiB / 30.47GiB
